date, pm25, pm10, o3, no2, so2, co
2018/8/14, 90, 51, 9, 7, , 
2018/8/15, 128, 36, 6, 9, , 
2018/8/16, 77, 26, 13, 5, , 
2018/8/17, 57, 26, 14, 4, , 
2018/8/18, 55, 16, 10, 6, , 
2018/8/19, 38, 26, 7, 5, , 
2018/8/20, 82, 77, 12, 7, , 
2018/8/21, 170, 84, 25, 16, 1, 
2018/8/22, 173, 96, 10, 18, , 
2018/8/23, 187, 41, 12, 4, , 
2018/8/24, 86, 37, 10, 5, , 
2018/8/25, 44, 31, 9, 5, , 
2018/8/26, 80, 20, 9, 3, , 
2018/8/27, 58, 21, 8, 7, , 
2018/8/28, 41, 21, , 9, , 
2018/8/29, 31, , , , , 
2018/8/31, 24, 11, 10, 4, , 
2018/9/1, 12, 11, 10, 4, , 
2018/9/2, 20, 16, 12, 5, , 
2018/9/3, 30, 30, 12, 2, , 
2018/9/4, 21, 43, 9, 7, , 
2018/9/5, 48, 42, 11, 9, , 
2018/9/6, 68, 33, 17, 7, , 
2018/9/7, 60, 11, 8, 4, , 
2018/9/8, 20, 7, 9, 3, , 
2018/9/9, 23, 6, 7, 3, , 
2018/9/10, 9, 8, 5, 5, , 
2018/9/11, 11, , , , , 
2018/9/15, 10, 5, 9, 3, , 
2018/9/16, 11, 7, 11, 3, , 
2018/9/17, 6, 9, 9, 5, , 
2018/9/18, 8, 10, 6, 6, , 
2018/9/19, 18, 13, 9, 6, , 
2018/9/20, 21, 7, 7, 4, , 
2018/9/21, 24, 6, 6, 5, , 
2018/9/22, 16, 6, 8, 2, , 
2018/9/23, 12, 8, 9, 3, , 
2018/9/24, 9, 10, 7, 5, , 
2018/9/25, 24, 12, 6, 4, , 
2018/9/26, 18, 12, 7, 5, , 
2018/9/27, 20, 13, 7, 6, , 
2018/9/28, 19, 11, 6, 6, , 
2018/9/29, 15, 15, 2, 9, , 
2018/9/30, 19, 7, 6, 3, , 
2018/10/1, 9, , , , , 
2018/5/15, 42, 18, 15, 10, , 
2018/5/16, 40, 18, 16, 5, , 
2018/5/17, 9, 7, 14, 2, , 
2018/5/18, 18, 9, 13, 2, , 
2018/5/19, 17, 10, 11, 2, , 
2018/5/20, 35, 11, 12, 4, , 
2018/5/21, 13, 7, 15, 1, , 
2018/5/22, 23, 9, 13, 4, , 
2018/5/23, 25, 12, 13, 8, , 
2018/5/24, 24, 13, 16, 6, , 
2018/5/25, 11, 7, 14, 2, , 
2018/5/26, 19, 11, 16, 4, , 
2018/5/27, 15, 8, 17, 2, , 
2018/5/28, 19, 10, 18, 2, , 
2018/5/29, 9, 7, 15, 2, , 
2018/5/30, 4, 6, 15, 2, , 
2018/5/31, 3, 5, 14, 3, , 
